Date,Forecast,Lower CI,Upper CI
2018-12-31,49307.654281469506,20160.89352786061,78454.4150350784
2019-01-31,7344.647844623458,-25238.460168432026,39927.755857678945
2019-02-28,47109.31213579284,4021.4338706368726,90197.1904009488
2019-03-31,33446.86795708767,-11558.339965203617,78452.07587937896
2019-04-30,45144.63910413617,-257.54542981405393,90546.8236380864
2019-05-31,41298.95224223797,-4187.138284736277,86785.04276921222
2019-06-30,39889.05512295683,-5614.843083564767,85392.95332947842
2019-07-31,46688.24732893676,1180.5664638083108,92195.92819406521
2019-08-31,76651.7510192618,31143.26611277985,122160.23592574376
2019-09-30,64381.426584327244,18872.770754596546,109890.08241405795
2019-10-31,97220.45842641343,51711.76637836245,142729.1504744644
2019-11-30,85829.85748852722,40321.15776514675,131338.5572119077
